Sample_name	Group	Time_d	G01	G02	G03	G04	G05	G06	G07	G08	G09	G10	G11	G12	G13	G14	G15	G16	G17	G18	G19	G20	G21	G22	G23	G24	G25	G26	G27	G28	G29	G30	G31	G32	G33	G34	G35	G36	G37	G38	G39	G40	G41	G42	G43	G44	G45	G46	G47	G48	G49	G50	G51	G52	G53	G54	G55	G56	G57	G58	G59	G60	G61	G62	G63	G64	G65	G66	G67	G68
14_C1	C1	14	0.005676	0.004769	0.091959	0.035675	0.036233	0.024637	0.019138	0.055616	0.019482	0.01009	0.006911	0.045198	0.030974	0.017449	0.069417	0.026992	0.002715	0.014979	0.019581	0.029802	0.012936	0.019367	0.000735	0.040872	0.003242	0.010465	0.000646	0.004008	0.032611	0.016871	0.012472	0.015917	0.000479	0.017189	0.004717	0.018434	0.006431	0.004383	0.020008	0.007547	0.015636	0.013916	0.023188	0.0032	0.003799	0.030854	0.005879	0.00762	0.013613	0.022104	0.005801	0.005191	0.001908	0.004696	0.006869	0.001345	0.000089	0.000016	0.000928	0.00368	0.002173	0.00074	0.003315	0.001908	0.003638	0.000235	0.000808	0.000229
15_C1	C1	15	0.007905	0.006237	0.058608	0.025934	0.035446	0.012354	0.023368	0.085958	0.015533	0.008322	0.00222	0.055369	0.036335	0.013123	0.082156	0.029585	0.00229	0.012364	0.024106	0.023574	0.011752	0.041186	0.001507	0.03181	0.00336	0.007433	0.001838	0.00341	0.063329	0.013253	0.022007	0.018316	0.000191	0.012309	0.004269	0.009723	0.002973	0.00226	0.013208	0.004264	0.01034	0.013183	0.018838	0.002642	0.003279	0.032804	0.002059	0.00561	0.014559	0.017241	0.005494	0.01367	0.001009	0.004148	0.007809	0.000578	0.000126	0.000015	0.000688	0.001753	0.000919	0.000954	0.003972	0.002647	0.005424	0.000276	0.000623	0.000156
17_C1	C1	17	0.003488	0.002275	0.029772	0.01353	0.026043	0.004451	0.030823	0.15888	0.007644	0.003906	0.00082	0.059489	0.050032	0.016183	0.06425	0.029791	0.000565	0.004451	0.014419	0.01269	0.024756	0.034517	0.000501	0.017318	0.001778	0.001508	0.000133	0.001022	0.115269	0.010504	0.055274	0.013309	0.000201	0.005065	0.001444	0.010774	0.003581	0.002324	0.013191	0.00536	0.007689	0.009688	0.01153	0.005409	0.004623	0.019735	0.00082	0.005871	0.006352	0.010744	0.00309	0.033407	0.002024	0.001439	0.005434	0.000535	0.0003	0.000054	0.000093	0.002628	0.000462	0.000314	0.010115	0.000737	0.005193	0.000098	0.00026	0.000025
18_C1	C1	18	0.007868	0.001646	0.034863	0.015619	0.011678	0.012634	0.022374	0.152317	0.011824	0.004188	0.001681	0.045066	0.066786	0.017784	0.053986	0.026034	0.001626	0.007228	0.014859	0.014275	0.045126	0.034279	0.000659	0.022339	0.00381	0.003101	0.000247	0.002396	0.039524	0.019681	0.079506	0.020673	0.005995	0.007555	0.003106	0.011884	0.003604	0.002612	0.018901	0.005235	0.012509	0.013324	0.011658	0.005688	0.009096	0.010858	0.002899	0.004837	0.00297	0.016435	0.001983	0.02924	0.001742	0.001052	0.005703	0.001279	0.000312	0.000151	0.000463	0.001606	0.001213	0.000337	0.00451	0.001284	0.002693	0.000589	0.000906	0.000091
19_C1	C1	19	0.005092	0.002281	0.032314	0.020157	0.010898	0.008728	0.028228	0.215079	0.01063	0.003773	0.001123	0.043424	0.064714	0.0111	0.084684	0.046009	0.001482	0.006963	0.014114	0.012415	0.036243	0.0213	0.001239	0.014407	0.002185	0.002665	0.000804	0.002083	0.023571	0.01289	0.068406	0.02039	0.000364	0.00708	0.003151	0.008455	0.003161	0.002645	0.010094	0.003267	0.010003	0.011141	0.015849	0.002832	0.003853	0.011778	0.001821	0.00135	0.003312	0.011975	0.003075	0.033629	0.000617	0.001381	0.004359	0.000814	0.000349	0.000152	0.000425	0.00086	0.000728	0.000308	0.002559	0.001987	0.005406	0.00086	0.0009	0.000071
21_C1	C1	21	0.006448	0.001326	0.044758	0.020202	0.010413	0.007186	0.016307	0.286831	0.00726	0.003345	0.001133	0.058932	0.072195	0.006894	0.070963	0.039384	0.000866	0.003994	0.007062	0.016178	0.055671	0.007384	0.00149	0.006632	0.001955	0.001173	0.000445	0.001361	0.021013	0.016401	0.055448	0.015203	0.000163	0.004647	0.001688	0.00482	0.001831	0.001599	0.006018	0.001504	0.005523	0.008443	0.009289	0.002762	0.005182	0.00971	0.001252	0.004979	0.002321	0.008859	0.003375	0.034242	0.000411	0.001222	0.00189	0.000629	0.000668	0.000247	0.000188	0.00048	0.000688	0.000183	0.002074	0.001143	0.004627	0.000643	0.000792	0.000054
22_C1	C1	22	0.00883	0.00473	0.059283	0.030296	0.005866	0.005566	0.007628	0.322726	0.006024	0.005761	0.001566	0.051574	0.068448	0.006525	0.080185	0.042171	0.000372	0.0022	0.006649	0.020119	0.052481	0.005465	0.002138	0.004687	0.00115	0.001862	0.000501	0.00052	0.012544	0.022024	0.031766	0.03947	0.00021	0.001709	0.000816	0.002191	0.000573	0.00052	0.004873	0.000859	0.003537	0.007828	0.013699	0.001747	0.00399	0.004964	0.000835	0.00169	0.00599	0.006267	0.002382	0.010659	0.00041	0.00231	0.001671	0.000578	0.000377	0.000162	0.000095	0.000496	0.00021	0.000243	0.001685	0.002282	0.002821	0.000053	0.000138	0
23_C1	C1	23	0.007738	0.005536	0.056773	0.028893	0.006572	0.005531	0.006644	0.33526	0.006281	0.006004	0.001065	0.052756	0.06464	0.005479	0.094474	0.04904	0.000439	0.002068	0.006233	0.017468	0.047086	0.004356	0.002135	0.00513	0.001013	0.002403	0.000683	0.000564	0.011206	0.014415	0.030092	0.033555	0.000143	0.001433	0.00086	0.002312	0.00063	0.000626	0.004361	0.000736	0.003324	0.008803	0.016546	0.001199	0.002933	0.003864	0.000817	0.00107	0.005627	0.005378	0.002083	0.010475	0.00032	0.003	0.001419	0.000817	0.000435	0.000067	0.000105	0.000224	0.000291	0.000425	0.001519	0.002703	0.003544	0.000124	0.000253	0.000005
24_C1	C1	24	0.005531	0.004659	0.040531	0.022508	0.008681	0.005132	0.004153	0.390344	0.004737	0.004362	0.001173	0.06911	0.074461	0.006456	0.08208	0.051038	0.000536	0.00241	0.005842	0.011363	0.046179	0.005365	0.001022	0.004625	0.000852	0.001339	0.000389	0.00074	0.007074	0.013102	0.01389	0.021437	0.000029	0.001602	0.000979	0.003632	0.00131	0.001091	0.005599	0.001212	0.004479	0.009392	0.0178	0.001957	0.003359	0.002322	0.000779	0.001261	0.002629	0.005282	0.001388	0.008345	0.000458	0.002016	0.001602	0.000988	0.000691	0.000102	0.000127	0.000691	0.000463	0.000526	0.002249	0.001977	0.001977	0.00019	0.000336	0.000039
25_C1	C1	25	0.004509	0.004566	0.042477	0.025408	0.011224	0.004182	0.006138	0.402905	0.005907	0.005182	0.001019	0.047682	0.081415	0.006609	0.087159	0.041491	0.00037	0.001875	0.007397	0.011714	0.057483	0.005955	0.000947	0.005263	0.001019	0.000644	0.000332	0.000774	0.0066	0.008705	0.016372	0.011171	0.000034	0.001346	0.000692	0.003273	0.001154	0.001144	0.004985	0.001154	0.003768	0.008642	0.013214	0.001985	0.005153	0.002177	0.00063	0.002971	0.002019	0.005215	0.002048	0.008118	0.000346	0.002365	0.001529	0.001495	0.000582	0.000101	0.00013	0.000673	0.000461	0.000716	0.002062	0.002562	0.002283	0.000139	0.000303	0.000038
28_C1	C1	28	0.002053	0.009543	0.047282	0.022729	0.01817	0.001456	0.006034	0.41237	0.005294	0.006049	0.000611	0.063772	0.06793	0.004659	0.090025	0.044953	0.000325	0.001342	0.004798	0.010274	0.059256	0.005462	0.000439	0.004812	0.001141	0.000263	0.000224	0.000396	0.002315	0.008178	0.003146	0.022686	0.000038	0.001012	0.000597	0.002802	0.001012	0.000788	0.003199	0.000979	0.002869	0.007047	0.015057	0.001494	0.005314	0.002029	0.000272	0.000525	0.005357	0.003347	0.001513	0.001155	0.000296	0.004249	0.001332	0.000516	0.000377	0.000158	0.000091	0.000339	0.000301	0.001146	0.001303	0.003237	0.001957	0.000057	0.000201	0.000048
29_C1	C1	29	0.001389	0.005606	0.062917	0.038001	0.025807	0.000997	0.00882	0.379852	0.006816	0.008181	0.000479	0.0733	0.065782	0.004623	0.063144	0.042396	0.000319	0.00138	0.007145	0.018008	0.05674	0.00412	0.000736	0.003776	0.000968	0.00015	0.000106	0.000334	0.00242	0.010369	0.002827	0.026015	0.000063	0.001307	0.000581	0.004792	0.001704	0.001443	0.002958	0.001263	0.00335	0.005523	0.013961	0.002125	0.00547	0.002856	0.000039	0.000745	0.004972	0.003456	0.002725	0.001065	0.000358	0.002774	0.001191	0.000532	0.000537	0.000266	0.000073	0.001351	0.000358	0.000353	0.001404	0.003723	0.002982	0.000034	0.000111	0.000029
30_C1	C1	30	0.001169	0.003536	0.067579	0.040653	0.044603	0.000721	0.014408	0.334519	0.008958	0.007194	0.000614	0.073249	0.061714	0.00981	0.064096	0.037272	0.000244	0.001544	0.010054	0.020989	0.05035	0.007389	0.000779	0.005577	0.001388	0.000209	0.000122	0.000356	0.002864	0.011349	0.001812	0.027262	0.000068	0.001929	0.000906	0.006366	0.002304	0.001612	0.005592	0.002085	0.003429	0.004924	0.011866	0.004282	0.006244	0.003882	0.000049	0.001398	0.00451	0.004121	0.004169	0.000862	0.001047	0.002168	0.001924	0.000848	0.000317	0.000141	0.000039	0.001831	0.00018	0.000341	0.001427	0.002406	0.004277	0.00001	0.000044	0.000019
31_C1	C1	31	0.001017	0.003234	0.048871	0.051566	0.049693	0.000659	0.017569	0.338967	0.012329	0.009415	0.000396	0.06764	0.062318	0.006119	0.073692	0.040932	0.000215	0.00097	0.014001	0.023406	0.060971	0.006731	0.000358	0.006582	0.00106	0.0001	0.000148	0.00032	0.002298	0.005952	0.001629	0.012014	0.000038	0.001094	0.000521	0.005087	0.002279	0.001538	0.003401	0.001605	0.002861	0.006539	0.013963	0.002656	0.005274	0.003678	0.000043	0.002245	0.003243	0.004323	0.0046	0.000535	0.000564	0.001968	0.001457	0.000353	0.000248	0.000086	0.000072	0.00129	0.000167	0.000339	0.000879	0.003062	0.002618	0.000048	0.000115	0.000038
35_C1	C1	35	0.002859	0.008199	0.085059	0.171439	0.087412	0.001847	0.018869	0.1021	0.031248	0.013588	0.000354	0.057697	0.034186	0.014511	0.047331	0.027018	0.000422	0.002176	0.030256	0.020617	0.011132	0.006956	0.000118	0.012851	0.001778	0.000251	0.000265	0.000609	0.00479	0.063066	0.000894	0.028271	0.000192	0.002599	0.000678	0.004456	0.001449	0.001277	0.012247	0.002849	0.005669	0.008317	0.012207	0.003193	0.002962	0.004195	0.000172	0.003537	0.005644	0.009623	0.00279	0.000378	0.000982	0.004117	0.002378	0.005895	0.000088	0.00002	0.000093	0.000604	0.000644	0.00085	0.000845	0.006848	0.003218	0.000359	0.000432	0.000025
36_C1	C1	36	0.002331	0.003262	0.071881	0.170664	0.093552	0.002811	0.022867	0.127086	0.03727	0.009839	0.000558	0.064682	0.037094	0.013968	0.033822	0.023371	0.000382	0.00214	0.034949	0.019433	0.009403	0.004986	0.000255	0.014002	0.001621	0.00073	0.000465	0.001102	0.004721	0.053785	0.00289	0.002752	0.000073	0.002669	0.000661	0.004437	0.001175	0.001009	0.012851	0.003105	0.005715	0.007459	0.011382	0.003673	0.004094	0.006729	0.000215	0.013978	0.00118	0.009722	0.006225	0.004476	0.000882	0.001974	0.002351	0.011979	0.000069	0.000024	0.000103	0.000877	0.000754	0.000328	0.001264	0.005461	0.00336	0.000583	0.000441	0.000049
37_C1	C1	37	0.004346	0.011642	0.029683	0.161325	0.115713	0.003578	0.027984	0.176715	0.035749	0.010481	0.000857	0.069613	0.035465	0.01224	0.03374	0.01702	0.000753	0.003454	0.02927	0.012749	0.011029	0.004166	0.000439	0.016481	0.002901	0.001181	0.000638	0.001311	0.003763	0.023598	0.004147	0.000718	0.00004	0.003788	0.001201	0.00619	0.001979	0.001515	0.011473	0.002945	0.006728	0.006125	0.009524	0.004301	0.004849	0.006499	0.000389	0.007984	0.00151	0.011184	0.003633	0.005452	0.000902	0.003633	0.002263	0.012923	0.000174	0.00002	0.000154	0.000633	0.000822	0.002223	0.003713	0.004745	0.004386	0.002008	0.001291	0.000055
38_C1	C1	38	0.007164	0.023065	0.023608	0.173504	0.107743	0.003936	0.026348	0.200289	0.037734	0.013111	0.001056	0.05551	0.040982	0.011301	0.029932	0.017118	0.000865	0.003273	0.030274	0.016348	0.0139	0.003836	0.000543	0.014187	0.003494	0.00088	0.000659	0.001483	0.004248	0.002775	0.004173	0.000809	0.000025	0.00372	0.001317	0.005927	0.001403	0.001232	0.01024	0.002659	0.006038	0.005827	0.010552	0.004509	0.004776	0.006219	0.000669	0.001227	0.003358	0.009552	0.002599	0.005389	0.001051	0.006671	0.002177	0.001664	0.000216	0.00002	0.000297	0.00084	0.000659	0.006515	0.002654	0.006762	0.004142	0.003062	0.001719	0.000171
39_C1	C1	39	0.004984	0.014291	0.084327	0.240094	0.08111	0.0046	0.016739	0.09931	0.034478	0.018706	0.001137	0.036388	0.042883	0.017503	0.024115	0.017907	0.001409	0.004513	0.030672	0.030759	0.007043	0.004692	0.000266	0.013098	0.002756	0.00082	0.000456	0.001434	0.003247	0.004277	0.003534	0.000553	0.000015	0.00294	0.001839	0.006316	0.001419	0.001209	0.017764	0.003283	0.010613	0.010526	0.016709	0.002341	0.001731	0.004933	0.001019	0.004774	0.002689	0.013497	0.00294	0.005747	0.000635	0.00463	0.002454	0.001065	0.000302	0.000031	0.000338	0.000799	0.000871	0.001813	0.000645	0.016786	0.003037	0.00337	0.002648	0.000169
43_C1	C1	43	0.009	0.013317	0.07498	0.273421	0.073108	0.013769	0.014628	0.115279	0.040324	0.015541	0.006099	0.038225	0.024993	0.004432	0.016118	0.008288	0.001787	0.002736	0.038291	0.055187	0.013117	0.003604	0.004653	0.012163	0.00392	0.009206	0.003112	0.001591	0.002535	0.008945	0.000728	0.004197	0.000065	0.00384	0.001687	0.001591	0.000417	0.000442	0.00371	0.000587	0.003644	0.003057	0.0064	0.001014	0.00125	0.003428	0.001807	0.007158	0.00253	0.005828	0.004623	0.000432	0.000141	0.002942	0.001988	0.002565	0.000136	0.000055	0.000743	0.00005	0.001049	0.00139	0.008508	0.010376	0.001195	0.004232	0.003634	0.000191
44_C1	C1	44	0.007689	0.015952	0.045571	0.247736	0.10286	0.009753	0.022025	0.157985	0.046015	0.011214	0.003635	0.034551	0.029624	0.004318	0.015268	0.009604	0.001431	0.002743	0.036561	0.034591	0.015588	0.003136	0.004144	0.013867	0.00377	0.008432	0.00384	0.002279	0.003057	0.006896	0.000818	0.005201	0.0001	0.004029	0.001885	0.000987	0.000229	0.000309	0.003131	0.000434	0.002822	0.00365	0.007904	0.001047	0.002423	0.004114	0.001122	0.00183	0.002972	0.006896	0.004149	0.000553	0.000085	0.004692	0.00184	0.00174	0.000204	0.000065	0.000982	0.000035	0.001197	0.003735	0.006482	0.004807	0.001835	0.007081	0.004074	0.000404
45_C1	C1	45	0.009557	0.009474	0.021229	0.188952	0.145678	0.015644	0.03967	0.122517	0.053274	0.006249	0.005221	0.040231	0.058274	0.007188	0.014454	0.012202	0.001662	0.00501	0.034897	0.021912	0.017768	0.004636	0.004302	0.018894	0.005187	0.008987	0.004002	0.003791	0.004646	0.002217	0.001755	0.001686	0.000059	0.007232	0.002439	0.001696	0.000383	0.000452	0.005526	0.000644	0.005172	0.004892	0.010654	0.001293	0.002163	0.005374	0.002738	0.002493	0.001603	0.011347	0.006214	0.00208	0.000187	0.002375	0.002148	0.001234	0.000187	0.000103	0.000973	0.000103	0.00208	0.003068	0.006544	0.002679	0.002886	0.005482	0.003958	0.000374
46_C1	C1	46	0.017019	0.00181	0.038141	0.065313	0.147031	0.062648	0.036532	0.057	0.026116	0.0051	0.016108	0.025141	0.038659	0.007423	0.020308	0.005612	0.001836	0.003591	0.012603	0.008977	0.02496	0.009213	0.012598	0.010008	0.005537	0.029471	0.015263	0.00432	0.006845	0.004174	0.027187	0.005572	0.000065	0.008077	0.002293	0.007554	0.001393	0.000996	0.007192	0.004541	0.005804	0.00264	0.007916	0.035108	0.046127	0.004224	0.015721	0.003043	0.000835	0.004365	0.003958	0.024733	0.00181	0.00082	0.003586	0.002298	0.000443	0.00007	0.001624	0.000739	0.004843	0.000352	0.027841	0.004883	0.002339	0.004114	0.004632	0.000905
49_C1	C1	49	0.014519	0.00594	0.018397	0.101843	0.295557	0.024689	0.05771	0.019156	0.016083	0.004678	0.011496	0.027758	0.008693	0.002863	0.014716	0.013595	0.003325	0.005524	0.021328	0.049932	0.004381	0.003366	0.008908	0.007486	0.006187	0.021392	0.011345	0.014615	0.015452	0.002081	0.024415	0.001244	0.001038	0.01092	0.004244	0.001957	0.000503	0.000334	0.002218	0.000805	0.003142	0.002552	0.00412	0.003352	0.003343	0.00889	0.004276	0.001395	0.000901	0.006855	0.008455	0.042816	0.00032	0.002154	0.001756	0.00064	0.000306	0.00011	0.002744	0.000357	0.005538	0.001925	0.005263	0.003905	0.003146	0.01173	0.008025	0.001294
50_C1	C1	50	0.008428	0.01439	0.009334	0.314601	0.198701	0.005004	0.053621	0.008532	0.049715	0.009937	0.003424	0.009749	0.006466	0.003608	0.010126	0.007843	0.001556	0.005221	0.053545	0.069057	0.002438	0.004749	0.003283	0.022568	0.007155	0.000773	0.000472	0.003334	0.008768	0.000325	0.009032	0.00042	0.000509	0.008018	0.002363	0.001924	0.000424	0.000292	0.003608	0.000769	0.003971	0.004216	0.004712	0.001212	0.000807	0.006244	0.000679	0.000509	0.000962	0.012583	0.007013	0.010654	0.000387	0.002632	0.00174	0.000373	0.000118	0.000052	0.000712	0.000401	0.001538	0.00083	0.000524	0.007532	0.00225	0.001306	0.00174	0.000217
51_C1	C1	51	0.00542	0.002063	0.013902	0.18459	0.378721	0.003752	0.07484	0.007005	0.045911	0.004995	0.000969	0.006853	0.005989	0.003748	0.006958	0.005911	0.001099	0.004187	0.042332	0.063956	0.002719	0.006176	0.002085	0.024122	0.005068	0.000434	0.000113	0.001941	0.007996	0.000543	0.002706	0.000243	0.000065	0.006306	0.001546	0.002732	0.000738	0.000539	0.004586	0.001038	0.004773	0.005212	0.005034	0.001429	0.001329	0.004139	0.000452	0.000882	0.000269	0.012534	0.011566	0.004165	0.000365	0.000491	0.00228	0.000512	0.000096	0.000052	0.000278	0.000374	0.000942	0.000369	0.000942	0.004056	0.001451	0.000334	0.000686	0.000091
